Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
1,Rob Gronkowski NE,11,1,3,1.1,0.3,1,0,1
2,Travis Kelce KC,12,1,3,2.1,0.4,2,0,2
3,Zach Ertz PHI,9,1,6,2.9,0.7,3,0,2
4,Greg Olsen CAR,4,3,10,5.1,1.4,5,1,3
5,Evan Engram NYG,9,2,13,6.2,1.8,6,1,3
6,Jimmy Graham GB,7,3,17,6.2,2.5,4,-2,3
7,Delanie Walker TEN,8,4,12,6.8,1.9,7,0,3
8,Kyle Rudolph MIN,10,3,13,7.2,1.8,8,0,3
9,Trey Burton CHI,5,5,20,9.6,2.5,10,1,3
10,Jordan Reed WAS,4,4,23,10.7,3.3,9,-1,4
11,David Njoku CLE,11,8,22,12.8,2.9,13,2,4
12,George Kittle SF,11,6,22,13,3.2,12,0,4
13,Jack Doyle IND,9,6,28,13.2,3.8,11,-2,4
14,O.J. Howard TB,5,9,28,15.8,3.9,15,1,4
15,Tyler Eifert CIN,9,11,43,17.1,5.3,14,-1,4
16,Cameron Brate TB,5,10,26,17.3,3.3,19,3,5
17,Eric Ebron IND,9,10,25,17.6,3.5,20,3,5
18,Charles Clay BUF,11,12,26,18.5,3.4,22,4,5
19,Jared Cook OAK,7,8,31,19.3,4.2,17,-2,5
20,Austin Seferian-Jenkins JAC,9,11,37,20.2,5.3,18,-2,5
21,Ricky Seals-Jones ARI,9,11,33,20.9,4.4,23,2,5
22,Benjamin Watson NO,6,9,35,21.6,4.8,30,8,5
23,Vance McDonald PIT,7,11,35,21.7,4.4,25,2,5
24,Mike Gesicki MIA,11,12,41,23.9,5.6,21,-3,5
25,Hayden Hurst BAL,10,10,39,25.5,6.4,16,-9,5
26,Austin Hooper ATL,8,14,35,22.8,3.9,31,5,6
27,Luke Willson DET,6,17,53,29.7,6.2,26,-1,6
28,Tyler Kroft CIN,9,14,42,31.9,5.6,47,19,6
29,Vernon Davis WAS,4,17,40,28,4.1,33,4,6
30,Jake Butt DEN,10,19,50,31,5.6,24,-6,6
31,Antonio Gates FA,,19,66,36.6,10.5,29,-2,6
32,Jesse James PIT,7,18,48,36.1,5.8,36,4,6
33,Garrett Celek SF,11,19,57,39.3,7.8,44,11,6
34,Stephen Anderson HOU,10,20,107,35.3,11.4,48,14,7
35,Gerald Everett LAR,12,22,66,31.5,6,45,10,7
36,Ed Dickson SEA,7,21,47,32.1,5,37,1,7
37,Nick Vannett SEA,7,24,49,34,5.2,51,14,7
38,Virgil Green LAC,8,25,55,34.8,7.2,43,5,7
39,Adam Shaheen CHI,5,21,56,34.8,7.2,53,14,7
40,Blake Jarwin DAL,8,28,48,35.7,5.5,28,-12,7
41,Dallas Goedert PHI,9,23,57,35.9,7.1,32,-9,7
42,Ryan Griffin HOU,10,23,54,36,8,34,-8,7
43,C.J. Fiedorowicz FA,,23,62,39.2,12,,,7
44,Tyler Higbee LAR,12,32,51,39.4,4.7,46,2,7
45,Jonnu Smith TEN,8,32,57,40.8,6.3,50,5,7
46,Mark Andrews BAL,10,27,91,41,11.9,39,-7,7
47,Jaylen Samuels PIT,7,21,123,43.8,23.9,,,7
48,Josh Hill NO,6,24,68,45.3,11.2,,,7
49,Clive Walford NYJ,11,26,69,45.4,10.8,,,7
50,Jordan Akins HOU,10,24,72,45.8,13.2,54,4,7
51,Chris Herndon IV NYJ,11,35,59,46.5,9.1,27,-24,7
52,Rico Gathers DAL,8,26,92,46.6,15.4,40,-12,7
53,Seth DeValve CLE,11,34,59,48,6.2,52,-1,7
54,Marcedes Lewis GB,7,35,64,48.4,7.8,55,1,7
55,Michael Roberts DET,6,39,75,48.7,7.9,,,7
56,Jermaine Gresham ARI,9,36,75,49.9,9.5,,,7
57,Coby Fleener FA,,30,81,49.9,14.8,42,-15,7
58,Nick O'Leary BUF,11,38,71,50.9,9,,,7
59,A.J. Derby MIA,11,39,66,51,7.5,,,7
60,Demetrius Harris KC,12,45,71,52.5,5.8,,,7
61,Jeff Heuerman DEN,10,34,85,52.6,11.3,38,-23,7
62,Dwayne Allen NE,11,36,68,54.1,7.5,,,7
63,Nick Boyle BAL,10,33,77,54.6,12.5,,,7
64,Niles Paul JAC,9,46,62,55.2,4.9,,,7
65,Geoff Swaim DAL,8,43,72,56.6,9.4,35,-30,7
66,Jacob Hollister NE,11,34,80,57.3,15.3,,,7
67,Ian Thomas CAR,4,39,67,58.4,7.6,49,-18,7
68,Lance Kendricks GB,7,46,95,58.6,13.5,,,7
69,Julius Thomas FA,,45,82,60.3,12.2,41,-28,7
70,Jordan Leggett NYJ,11,34,175,60.9,30.9,,,7
71,David Morgan MIN,10,51,67,61.4,5.2,,,7
72,Rhett Ellison NYG,9,48,77,61.9,8.1,,,7
73,Logan Paulsen ATL,8,46,90,64.9,12.7,,,7
74,Maxx Williams BAL,10,46,94,65.9,11.9,,,7
75,Levine Toilolo DET,6,48,84,66.2,11.8,,,7
76,Erik Swoope IND,9,38,146,67,29.5,,,7
77,Sean Culkin LAC,8,52,86,67,10.1,,,7
78,Sean McGrath DET,6,52,83,67.5,15.5,,,7
79,Lee Smith OAK,7,64,76,68.3,4.7,,,7
80,Dalton Schultz DAL,8,37,143,69.5,28,,,7
81,Richard Rodgers PHI,9,42,88,71.4,14.6,,,7
82,Eric Tomlinson NYJ,11,56,89,72,12.5,,,7
83,Braedon Bowman LAC,8,47,107,72.6,21.5,,,7
84,Troy Fumagalli DEN,10,44,118,74,22.4,,,7
85,Dion Sims CHI,5,49,89,74.5,12.9,,,7
86,C.J. Uzomah CIN,9,66,82,75.5,5.9,,,7
87,Derek Carrier OAK,7,52,100,76.7,15.1,,,7
88,Jerell Adams NYG,9,64,88,77.2,9.7,,,7
89,Evan Baylis CAR,4,60,99,79.5,19.5,,,7
90,James O'Shaughnessy JAC,9,67,99,79.7,12,,,7
91,Troy Niklas FA,,60,113,80,23.5,,,7
92,MarQueis Gray MIA,11,62,93,81.4,11.6,,,7
93,Xavier Grimble PIT,7,78,94,81.8,6.1,,,7
94,Jeremy Sprinkle WAS,4,74,98,83.2,9.2,,,7
95,Austin Traylor DEN,10,70,108,85.6,15.4,,,7
96,Cole Hikutini SF,11,72,110,86.3,14.3,,,7
97,Phillip Supernaw FA,,78,95,86.7,6.9,,,7
98,Ben Koyack JAC,9,59,110,87.6,17.4,,,7
99,Daniel Brown CHI,5,74,101,89,10.8,,,7
100,Darren Fells CLE,11,82,94,89,4.7,,,7
101,Gabe Holmes ARI,9,88,90,89,1,,,7
102,Will Tye NE,11,69,111,90,21,,,7
103,Blake Bell MIN,10,88,99,91.5,4.4,,,7
104,Durham Smythe MIA,11,73,128,92.2,18.9,,,7
105,Luke Stocker TEN,8,91,94,92.5,1.1,,,7
