Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
1,Antonio Brown PIT,7,1,3,1.1,0.4,1,0,1
2,DeAndre Hopkins HOU,10,1,7,2.4,1.1,2,0,1
3,Odell Beckham Jr. NYG,9,1,8,3.1,1,3,0,1
4,Julio Jones ATL,8,2,8,4.1,1.2,4,0,1
5,Michael Thomas NO,6,3,9,5.4,1.4,5,0,2
6,Keenan Allen LAC,8,3,10,6.4,1.5,6,0,2
7,A.J. Green CIN,9,4,11,7.1,1.2,8,1,2
8,Davante Adams GB,7,4,12,7.1,1.5,7,-1,2
9,Mike Evans TB,5,6,22,10.3,2.7,9,0,2
10,T.Y. Hilton IND,9,6,21,10.8,2.5,12,2,2
11,Doug Baldwin SEA,7,9,25,13.3,3.5,14,3,3
12,Stefon Diggs MIN,10,9,22,13.3,3.2,11,-1,3
13,Adam Thielen MIN,10,7,27,13.6,3.8,13,0,3
14,Tyreek Hill KC,12,5,29,14.7,3.8,10,-4,3
15,Amari Cooper OAK,7,9,40,15.8,4.4,15,0,3
16,Larry Fitzgerald ARI,9,10,31,16.7,3.5,17,1,3
17,Demaryius Thomas DEN,10,10,29,18,3.6,19,2,3
18,Allen Robinson CHI,5,10,54,18.3,5.9,21,3,3
19,JuJu Smith-Schuster PIT,7,11,37,20.9,4.7,16,-3,3
20,Marvin Jones DET,6,10,34,21.6,4.5,25,5,4
21,Golden Tate DET,6,15,32,22,3.3,23,2,4
22,Brandin Cooks LAR,12,10,36,22.2,5.3,18,-4,4
23,Alshon Jeffery PHI,9,10,43,23,7.8,24,1,4
24,Josh Gordon CLE,11,10,49,23.9,6.9,22,-2,4
25,Jarvis Landry CLE,11,12,48,24.8,5.4,20,-5,4
26,Chris Hogan NE,11,14,60,28,7.7,27,1,4
27,Michael Crabtree BAL,10,12,48,28.8,6.1,28,1,4
28,Sammy Watkins KC,12,14,51,29,6.9,30,2,4
29,Corey Davis TEN,8,17,51,29.7,6.6,26,-3,4
30,Emmanuel Sanders DEN,10,24,50,32.3,5.9,35,5,4
31,Robert Woods LAR,12,19,51,33.8,6,33,2,5
32,Pierre Garcon SF,11,22,54,34.1,6.1,36,4,5
33,Devin Funchess CAR,4,21,63,34.2,7.7,32,-1,5
34,Robby Anderson NYJ,11,17,71,34.4,7.4,42,8,5
35,Marquise Goodwin SF,11,20,56,35,7.3,34,-1,5
36,Jamison Crowder WAS,4,20,55,36.1,6.6,40,4,5
37,Cooper Kupp LAR,12,17,47,36.3,5,37,0,5
38,Will Fuller HOU,10,20,54,37.9,6.1,29,-9,5
39,Randall Cobb GB,7,22,65,38.8,8.9,38,-1,5
40,Kenny Stills MIA,11,20,81,42.5,9.7,49,9,5
41,Nelson Agholor PHI,9,30,62,42.4,6.1,43,2,5
42,Julian Edelman NE,11,24,76,42.8,8.8,31,-11,5
43,Jordy Nelson OAK,7,22,62,43,8.1,39,-4,5
44,Devante Parker MIA,11,23,68,43.6,9.6,41,-3,5
45,Kelvin Benjamin BUF,11,30,68,44.2,6.6,44,-1,5
46,Sterling Shepard NYG,9,32,62,45.5,6.8,45,-1,5
47,Allen Hurns DAL,8,25,81,48.1,9.6,48,1,6
48,Marqise Lee JAC,9,32,81,48.1,7.7,50,2,6
49,Rishard Matthews TEN,8,14,79,49.8,9.3,56,7,6
50,D.J. Moore CAR,4,17,83,53.4,10.9,47,-3,6
51,Josh Doctson WAS,4,37,80,53.4,8.3,58,7,6
