Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
1,Jacksonville (JAC),9,1,13,1.5,1.9,1,0,1
2,Minnesota (MIN),10,1,14,2.8,1.7,4,2,1
3,Los Angeles (LAR),12,1,17,4.1,2.7,2,-1,1
4,Philadelphia (PHI),9,2,15,4.3,2.1,3,-1,1
5,Los Angeles (LAC),8,1,16,5.6,2.3,8,3,2
6,Houston (HOU),10,2,21,6.7,2.7,5,-1,2
7,Denver (DEN),10,1,26,7.5,3.4,7,0,2
8,Baltimore (BAL),10,3,19,8.1,2.9,6,-2,2
9,New Orleans (NO),6,1,24,9.7,3.2,11,2,3
10,New England (NE),11,1,25,11.3,3.6,10,0,3
11,Pittsburgh (PIT),7,2,22,12.4,3.3,9,-2,3
12,Carolina (CAR),4,4,25,12.2,2.9,12,0,3
13,Seattle (SEA),7,2,26,14.5,5.1,13,0,3
14,Chicago (CHI),5,7,28,15,3.4,19,5,4
15,Atlanta (ATL),8,6,27,15.1,3.4,15,0,4
16,Kansas City (KC),12,4,28,15.9,4.7,18,2,4
17,Arizona (ARI),9,6,31,16.4,3.9,16,-1,4
18,Green Bay (GB),7,2,26,18.2,4.5,20,2,4
19,Cincinnati (CIN),9,7,28,19.5,3.7,28,9,4
20,New York (NYG),9,9,31,20.2,4.1,26,6,4
21,Tennessee (TEN),8,4,26,18,3.7,14,-7,4
22,Detroit (DET),6,1,30,20.9,4.9,21,-1,5
23,Buffalo (BUF),11,5,31,21.6,4.6,23,0,5
24,Tampa Bay (TB),5,11,32,23.3,3.9,,,5
25,Dallas (DAL),8,3,31,22.7,5.5,17,-8,5
26,Washington (WAS),4,6,31,24,4.7,25,-1,5
27,San Francisco (SF),11,8,30,24.7,4.1,22,-5,5
28,Cleveland (CLE),11,12,32,25.2,5.1,24,-4,5
29,New York (NYJ),11,11,32,27.2,5.2,29,0,5
30,Oakland (OAK),7,9,32,27.9,4.9,27,-3,5
31,Miami (MIA),11,10,32,28.3,4.2,30,-1,5
32,Indianapolis (IND),9,22,32,31,2,,,5
