Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
1,Todd Gurley LAR,12,1,5,1.7,1,1,0,1
2,Le'Veon Bell PIT,7,1,6,2.5,1.3,2,0,1
3,Ezekiel Elliott DAL,8,1,8,3.2,1.4,3,0,1
4,David Johnson ARI,9,1,19,4.1,2.4,4,0,1
5,Antonio Brown PIT,7,2,9,4.8,1.4,5,0,1
6,DeAndre Hopkins HOU,10,3,18,7.9,2.7,8,2,2
7,Alvin Kamara NO,6,3,18,8.2,3,7,0,2
8,Saquon Barkley NYG,9,2,20,8.9,3.5,6,-2,2
9,Odell Beckham Jr. NYG,9,4,21,9.5,2.7,12,3,2
10,Melvin Gordon LAC,8,6,20,11.4,3.2,11,1,2
11,Kareem Hunt KC,12,6,29,11.4,3.5,10,-1,2
12,Julio Jones ATL,8,5,19,11.7,2.7,14,2,2
13,Leonard Fournette JAC,9,5,25,11.8,3.8,9,-4,2
14,Michael Thomas NO,6,7,22,14.1,3.1,16,2,2
15,Dalvin Cook MIN,10,6,24,14.4,3.7,13,-2,2
16,Keenan Allen LAC,8,9,25,16.2,3.2,17,1,3
17,A.J. Green CIN,9,10,24,17.3,2.9,20,3,3
18,Davante Adams GB,7,10,37,17.7,4,19,1,3
19,Devonta Freeman ATL,8,11,29,19.5,3.8,15,-4,3
20,Jordan Howard CHI,5,12,34,22,4.7,21,1,3
21,Rob Gronkowski NE,11,13,37,24,4.1,23,2,3
22,Mike Evans TB,5,15,53,24.2,6.6,22,0,3
23,T.Y. Hilton IND,9,15,49,25.9,6.6,30,7,3
24,Joe Mixon CIN,9,11,50,26,6.9,24,0,3
25,Jerick McKinnon SF,11,12,67,26.9,8.2,25,0,3
26,Christian McCaffrey CAR,4,15,59,27.3,7.9,18,-8,3
27,Travis Kelce KC,12,19,63,31.5,9.1,29,2,4
28,Doug Baldwin SEA,7,20,55,31.5,8.2,34,6,4
29,Stefon Diggs MIN,10,19,54,32,8.3,31,2,4
30,Adam Thielen MIN,10,15,62,32.1,8.8,32,2,4
31,LeSean McCoy BUF,11,9,89,33.8,13.1,27,-4,4
32,Tyreek Hill KC,12,10,72,34.8,8.9,28,-4,4
33,Alex Collins BAL,10,18,88,35.5,11.1,37,4,4
34,Amari Cooper OAK,7,19,96,37.3,10.9,33,-1,4
35,Larry Fitzgerald ARI,9,24,71,38.8,7.4,43,8,4
36,Aaron Rodgers GB,7,25,302,43.1,39.3,26,-10,4
37,Zach Ertz PHI,9,23,82,41.7,11.7,39,2,4
38,Demaryius Thomas DEN,10,22,71,41.8,8.5,45,7,4
39,Jay Ajayi PHI,9,17,74,42.2,12.4,36,-3,4
40,Allen Robinson CHI,5,25,117,42.6,12.9,46,6,4
41,Kenyan Drake MIA,11,23,98,43.4,14.2,38,-3,4
42,Derrick Henry TEN,8,19,87,43.5,14.3,35,-7,4
43,JuJu Smith-Schuster PIT,7,28,92,48,10.7,41,-2,5
44,Lamar Miller HOU,10,22,95,47.5,14.4,47,3,5
45,Golden Tate DET,6,31,78,49.6,8.3,53,8,5
46,Marvin Jones DET,6,22,86,49.6,11.7,58,12,5
47,Brandin Cooks LAR,12,23,87,51,13.8,42,-5,5
48,Royce Freeman DEN,10,24,102,52.9,15.6,55,7,5
49,Russell Wilson SEA,7,26,82,50.6,12,49,0,5
50,Alshon Jeffery PHI,9,27,122,52.7,18.8,56,6,5
51,Josh Gordon CLE,11,26,116,55,17.1,52,1,5
52,Mark Ingram NO,6,27,111,56.5,15.6,50,-2,5
53,Jarvis Landry CLE,11,30,124,56.5,14.1,44,-9,5
54,Dion Lewis TEN,8,30,105,57.2,14.2,62,8,5
55,Tom Brady NE,11,31,92,53.9,13.2,48,-7,5
56,Cam Newton CAR,4,35,91,57.9,12.1,61,5,5
57,Marshawn Lynch OAK,7,34,130,63.2,16.7,70,13,6
58,Deshaun Watson HOU,10,30,109,61.3,15.3,40,-18,6
59,Chris Hogan NE,11,34,162,65.7,21.3,68,9,6
60,Greg Olsen CAR,4,43,97,66,10.8,65,5,6
61,Michael Crabtree BAL,10,32,124,66.2,15.8,69,8,6
62,Sammy Watkins KC,12,32,121,67.1,18.2,72,10,6
63,Corey Davis TEN,8,42,126,69.2,18,67,4,6
64,Ronald Jones II TB,5,31,169,69.1,23.2,57,-7,6
65,Rashaad Penny SEA,7,23,137,69.3,26.6,51,-14,6
66,Rex Burkhead NE,11,24,265,72.2,34.9,76,10,6
67,Drew Brees NO,6,39,158,69.8,17.7,66,-1,6
68,Evan Engram NYG,9,25,134,74.4,16.4,63,-5,6
69,Tevin Coleman ATL,8,36,141,73.3,18.7,64,-5,6
70,Jimmy Graham GB,7,31,156,75.1,19.5,54,-16,6
71,Sony Michel NE,11,28,167,74.3,24.2,60,-11,6
72,Emmanuel Sanders DEN,10,49,121,76,16.7,88,16,6
73,Delanie Walker TEN,8,50,113,78.8,13.3,74,1,6
74,Carson Wentz PHI,9,35,182,76.7,21.8,59,-15,6
75,Robert Woods LAR,12,46,136,80.1,16.3,87,12,6
76,Pierre Garcon SF,11,44,131,79.2,16.3,94,18,6
77,Devin Funchess CAR,4,45,179,79.5,21.1,77,0,6
78,Kyle Rudolph MIN,10,50,129,81.1,14.3,75,-3,6
79,Kirk Cousins MIN,10,41,138,79,17.7,80,1,6
80,Robby Anderson NYJ,11,42,212,82.3,22.9,99,19,6
81,Kerryon Johnson DET,6,34,226,82.8,29.5,73,-8,6
82,Marquise Goodwin SF,11,42,150,83.3,21.4,82,0,6
83,Isaiah Crowell NYJ,11,43,228,86.3,25.5,86,3,7
84,Cooper Kupp LAR,12,43,122,85.4,14.4,93,9,7
85,Jamison Crowder WAS,4,38,149,86.4,19.9,98,13,7
86,Andrew Luck IND,9,42,218,87.8,27.6,85,-1,7
87,Will Fuller HOU,10,51,134,90.2,16.7,71,-16,7
88,Matthew Stafford DET,6,54,168,88.2,21,96,8,7
89,Jamaal Williams GB,7,46,151,88.6,22.2,84,-5,7
90,Carlos Hyde CLE,11,35,159,88.8,23.6,79,-11,7
91,Randall Cobb GB,7,51,155,91.3,23.2,95,4,7
92,C.J. Anderson CAR,4,38,175,94.6,27.4,108,16,7
93,Marlon Mack IND,9,46,173,91.5,25.5,83,-10,7
94,Ben Roethlisberger PIT,7,54,186,95.5,19.3,102,8,7
95,Trey Burton CHI,5,56,187,99,20.4,97,2,7
96,Chris Thompson WAS,4,39,219,96.3,28,92,-4,7
97,Philip Rivers LAC,8,60,176,100.7,22.7,107,10,7
98,Nelson Agholor PHI,9,69,165,102.6,19.7,111,13,7
99,Kenny Stills MIA,11,47,249,103.3,29.8,130,31,7
100,Julian Edelman NE,11,57,185,102.3,24,78,-22,7
101,Jordy Nelson OAK,7,42,164,102.8,22.9,89,-12,7
102,Jimmy Garoppolo SF,11,65,224,105.4,22.4,91,-11,7
103,Jordan Reed WAS,4,60,213,107.2,25.1,90,-13,7
104,Duke Johnson CLE,11,43,234,104.3,29.5,103,-1,7
105,Kelvin Benjamin BUF,11,69,186,106.7,20.6,112,7,7
106,Devante Parker MIA,11,54,183,104.6,27.9,101,-5,7
107,Tarik Cohen CHI,5,72,165,108.2,18.8,81,-26,7
108,Matt Ryan ATL,8,59,232,111.5,24.8,106,-2,7
109,Sterling Shepard NYG,9,78,176,108.9,19.9,114,5,7
110,Chris Carson SEA,7,49,211,114.7,36.7,109,-1,8
111,Aaron Jones GB,7,30,206,114.9,31.4,105,-6,8
112,Marqise Lee JAC,9,74,222,116.6,23.7,138,26,8
113,Allen Hurns DAL,8,57,256,118.2,31.7,118,5,8
114,Jared Goff LAR,12,77,161,119.6,17.6,104,-10,8
115,Patrick Mahomes KC,12,71,264,121.4,28.5,115,0,8
116,Marcus Mariota TEN,8,62,205,120.6,24.9,123,7,8
117,Rishard Matthews TEN,8,40,245,120.6,30.3,152,35,8
118,David Njoku CLE,11,81,171,122.8,21.4,119,1,8
119,George Kittle SF,11,74,184,124.3,23.9,120,1,8
120,Jack Doyle IND,9,78,241,124.8,26.3,124,4,8
121,Nick Chubb CLE,11,73,224,120.4,28.7,100,-21,8
122,Alex Smith WAS,4,66,199,125.7,24.9,128,6,8
123,Josh Doctson WAS,4,75,235,129.9,27.1,151,28,8
124,D.J. Moore CAR,4,43,251,129.6,33.6,116,-8,8
125,Dak Prescott DAL,8,73,192,131.8,25,129,4,8
126,Ty Montgomery GB,7,76,278,133.7,32.1,126,0,8
127,Devontae Booker DEN,10,71,280,134.4,35,117,-10,8
128,Kenny Golladay DET,6,86,259,134.8,29.2,137,9,8
129,Cameron Meredith NO,6,66,215,137,28.6,142,13,8
130,Giovani Bernard CIN,9,84,256,136.2,30.2,145,15,8
131,O.J. Howard TB,5,85,216,140.9,28.2,150,19,8
132,Bilal Powell NYJ,11,60,212,136,32.5,160,28,8
133,Tyler Lockett SEA,7,87,250,143.7,36.3,161,28,8
134,Jacksonville (JAC),9,93,261,144.9,32.8,110,-24,8
135,DeSean Jackson TB,5,95,240,143.9,27.8,189,54,9
136,Corey Clement PHI,9,79,272,144.6,36.4,135,-1,9
137,Tyler Eifert CIN,9,102,220,146.9,28.8,139,2,9
138,Mike Williams LAC,8,78,226,144.3,35.7,131,-7,9
139,Cameron Brate TB,5,89,249,152.8,28.9,178,39,9
140,Derek Carr OAK,7,101,244,151.5,26.9,133,-7,9
141,Peyton Barber TB,5,73,250,149.5,39.9,163,22,9
142,Blake Bortles JAC,9,100,250,153.2,30.2,181,39,9
143,D'Onta Foreman HOU,10,75,255,148.5,37.9,122,-21,9
144,Minnesota (MIN),10,104,263,152.3,28.6,127,-17,9
145,Latavius Murray MIN,10,57,254,152.9,31.4,148,3,9
146,Calvin Ridley ATL,8,83,214,150,29.4,113,-33,9
147,Eric Ebron IND,9,88,218,155.8,28.4,196,49,9
148,Mitch Trubisky CHI,5,98,239,155.2,26.6,162,14,9
149,Paul Richardson WAS,4,96,218,150.7,26.4,175,26,9
150,Samaje Perine WAS,4,66,287,149.5,50.4,166,16,9
151,Eli Manning NYG,9,96,279,158.7,30,170,19,9
152,Tyrell Williams LAC,8,86,258,157,41,185,33,9
153,Charles Clay BUF,11,105,214,158.1,24.7,222,69,9
154,Anthony Miller CHI,5,91,260,151.3,35.6,157,3,9
155,Mohamed Sanu ATL,8,73,263,155.6,35.6,195,40,9
156,LeGarrette Blount DET,6,53,263,156.9,35.7,149,-7,9
157,Matt Breida SF,11,97,280,157.3,37.5,140,-17,9
158,James White NE,11,103,253,156.8,26.8,154,-4,9
159,Doug Martin OAK,7,100,249,156.5,32.2,146,-13,9
160,Chris Godwin TB,5,91,233,157.1,35,194,34,9
161,Philadelphia (PHI),9,111,284,160.4,30,136,-25,9
162,Michael Gallup DAL,8,93,247,153.8,33.8,141,-21,9
163,Theo Riddick DET,6,99,250,157.7,28.9,168,5,9
164,Dez Bryant FA,,31,228,141.4,36,155,-9,9
165,Jared Cook OAK,7,86,202,159.8,26.6,192,27,9
166,Nyheim Hines IND,9,68,246,156.3,34.8,134,-32,9
167,Los Angeles (LAR),12,106,262,164.1,29.5,121,-46,9
168,Case Keenum DEN,10,104,275,166.3,30.7,173,5,9
169,Ted Ginn NO,6,85,253,161.8,32.4,193,24,9
170,Martavis Bryant OAK,7,85,245,162.3,35.8,159,-11,9
171,Houston (HOU),10,121,292,168.6,30.2,153,-18,9
172,Los Angeles (LAC),8,113,288,168.3,30.1,143,-29,9
173,Andy Dalton CIN,9,101,267,170.6,30.4,212,39,9
174,Austin Seferian-Jenkins JAC,9,83,234,166.7,33.3,171,-3,9
175,Frank Gore MIA,11,82,252,164.7,31.6,200,25,9
176,Denver (DEN),10,113,268,169.3,28.3,164,-12,9
177,Jameis Winston TB,5,79,241,174.9,33.5,156,-21,9
178,Dede Westbrook JAC,9,96,250,169.1,37.8,169,-9,9
179,John Brown BAL,10,94,253,171.3,37.1,242,63,9
180,Jordan Wilkins IND,9,92,267,163.4,41.1,165,-15,10
181,Baltimore (BAL),10,131,293,176.5,30.7,158,-23,10
182,Stephen Gostkowski NE,11,125,315,177.5,31.6,125,-57,10
183,Ricky Seals-Jones ARI,9,98,239,176.5,30.9,210,27,10
184,Keelan Cole JAC,9,94,261,174.2,39.3,190,6,10
185,Chris Ivory BUF,11,104,245,169.8,36.9,235,50,10
186,Benjamin Watson NO,6,86,260,175.2,33.1,227,41,10
187,Vance McDonald PIT,7,110,293,179.6,31.8,230,43,10
188,Quincy Enunwa NYJ,11,99,254,179.4,33.1,259,71,10
189,Justin Tucker BAL,10,124,319,184.4,33.6,144,-45,10
190,Robert Kelley WAS,4,60,288,159.7,47.5,147,-43,10
191,Mike Wallace PHI,9,125,247,179.6,33.4,293,102,10
192,Geronimo Allison GB,7,124,265,176.6,31,188,-4,10
193,Donte Moncrief JAC,9,85,261,181.5,36.6,234,41,10
194,John Ross CIN,9,112,291,179.1,42.3,199,5,10
195,Tyrod Taylor CLE,11,112,278,186.4,36.7,214,19,10
196,Ryan Tannehill MIA,11,127,261,185.8,30.6,206,10,10
197,Greg Zuerlein LAR,12,121,313,185.5,31.4,132,-65,10
198,Austin Hooper ATL,8,110,275,183.2,30.2,238,40,10
199,Ryan Grant IND,9,89,263,179.7,36.8,269,70,10
200,Austin Ekeler LAC,8,107,286,184.8,37.9,184,-16,10
201,Christian Kirk ARI,9,94,253,182.2,34.1,182,-19,10
202,Corey Coleman BUF,11,116,261,188.9,41.1,243,41,10
203,New Orleans (NO),6,120,297,187.9,29.4,187,-16,10
204,Mike Gesicki MIA,11,119,271,185,34.8,174,-30,10
205,Seattle (SEA),7,127,350,193.7,42.1,176,-29,10
206,Kenneth Dixon BAL,10,111,298,186.1,37.9,217,11,10
207,Matt Bryant ATL,8,129,366,192.1,36.1,205,-2,10
208,Spencer Ware KC,12,111,273,189.8,36.4,225,17,10
209,New England (NE),11,143,308,191.7,28.4,223,14,10
210,Hayden Hurst BAL,10,88,273,188.7,42.9,167,-43,10
211,Danny Amendola MIA,11,120,261,190.5,31.6,256,45,10
