Rank,Name,Bye,Best,Worst,Average,StdDev,ADP,vsADP,Tier
1,Todd Gurley LAR,12,1,4,1.6,0.9,1,0,1
2,Le'Veon Bell PIT,7,1,4,2.3,1,2,0,1
3,Ezekiel Elliott DAL,8,1,5,2.9,1,3,0,1
4,David Johnson ARI,9,1,11,3.6,1.4,4,0,1
5,Alvin Kamara NO,6,2,11,6,1.7,6,1,2
6,Saquon Barkley NYG,9,2,12,6.4,1.7,5,-1,2
7,Melvin Gordon LAC,8,5,11,7.8,1.5,9,2,2
8,Kareem Hunt KC,12,5,15,7.8,1.6,8,0,2
9,Leonard Fournette JAC,9,4,11,8,1.7,7,-2,2
10,Dalvin Cook MIN,10,5,15,9.3,1.8,10,0,2
11,Devonta Freeman ATL,8,9,16,11.6,1.3,11,0,3
12,Jordan Howard CHI,5,8,19,12.7,1.8,13,1,3
13,Joe Mixon CIN,9,8,20,14.2,2.4,16,3,3
14,Jerick McKinnon SF,11,9,26,14.7,2.7,14,0,3
15,Christian McCaffrey CAR,4,9,23,14.9,2.8,12,-3,3
16,LeSean McCoy BUF,11,7,30,17.1,4.1,15,-1,3
17,Alex Collins BAL,10,12,28,17.6,3.2,18,1,3
18,Jay Ajayi PHI,9,11,32,20,4,20,2,4
19,Kenyan Drake MIA,11,13,36,20.3,4.4,17,-2,4
20,Derrick Henry TEN,8,13,32,20.4,4.2,19,-1,4
21,Lamar Miller HOU,10,14,40,22.1,4.7,22,1,4
22,Royce Freeman DEN,10,14,39,23.5,4.7,25,3,4
23,Mark Ingram NO,6,16,36,24.2,3.9,23,0,4
24,Dion Lewis TEN,8,16,41,25.2,4.3,27,3,4
25,Marshawn Lynch OAK,7,18,41,26.5,4.5,29,4,4
26,Rex Burkhead NE,11,13,51,28.4,7.3,30,4,5
27,Rashaad Penny SEA,7,13,46,28.6,7.3,21,-6,5
28,Ronald Jones II TB,5,16,55,28.9,6.3,24,-4,5
29,Tevin Coleman ATL,8,17,42,29.9,5.1,28,-1,5
30,Sony Michel NE,11,16,57,30.5,6.5,26,-4,5
31,Kerryon Johnson DET,6,17,53,32.1,6.8,31,0,5
